0.468	17.291	130.00	0.1000	23.265	0.	0.	19.23
0.500	15.950	132.79	0.1046	23.266	0.	0.	34.28
0.600	12.094	140.84	0.1184	23.269	97.4	-2.09	75.41
0.700	8.652	148.04	0.1314	23.272	88.9	-2.09	112.41
0.800	5.528	154.57	0.1438	23.274	80.6	-2.09	148.81
0.900	2.659	160.56	0.1557	23.276	81.6	-2.09	184.60
1.00	0.000	166.10	0.1710	23.278	74.5	-2.08	218.35
1.20	-4.820	176.11	0.1892	23.282	71.7	-2.07	281.29
1.40	-9.120	184.99	0.2102	23.285	68.3	-2.06	343.34
1.60	-13.019	193.00	0.2302	23.288	63.6	-2.05	405.62
1.80	-16.597	200.31	0.2495	23.290	64.9	-2.04	460.80
2.00	-19.911	207.06	0.2682	23.293	60.4	-2.03	514.02
2.20	-23.005	213.32	0.2863	23.295	58.2	-2.02	565.00
2.40	-25.910	219.19	0.3039	23.297	56.9	-2.01	614.60
2.60	-28.652	224.71	0.3211	23.299	55.0	-2.01	662.46
2.80	-31.253	229.92	0.3380	23.301	53.2	-2.00	709.16
3.00	-33.728	234.87	0.3545	23.303	54.1	-2.00	755.34
3.20	-36.090	239.59	0.3706	23.305	51.2	-1.99	800.16
3.40	-38.352	244.09	0.3865	23.307	50.1	-1.99	844.60
3.60	-40.525	248.40	0.4021	23.308	48.7	-1.98	887.90
3.80	-42.614	252.55	0.4174	23.310	49.0	-1.98	929.10
4.00	-44.627	256.53	0.4326	23.311	48.4	-1.98	971.29
4.20	-46.572	260.38	0.4474	23.313	47.8	-1.98	1011.6
4.40	-48.454	264.09	0.4621	23.314	47.8	-1.97	1051.9
4.60	-50.277	267.68	0.4766	23.316	45.2	-1.97	1090.9
4.80	-52.045	271.16	0.4909	23.317	45.6	-1.97	1129.9
5.00	-53.762	274.54	0.5051	23.318	45.3	-1.97	1167.7
6.00	-61.692	290.10	0.5735	23.324	42.1	-1.96	1351.6
7.00	-68.744	303.88	0.6386	23.329	40.0	-1.95	1526.1
8.00	-75.117	316.31	0.7010	23.334	37.8	-1.95	1691.3
9.00	-80.952	327.67	0.7612	23.339	36.6	-1.95	1849.6
10.0	-86.346	338.16	0.8195	23.342	34.5	-1.94	2001.9
11.0	-91.370	347.92	0.8761	23.346	34.6	-1.95	2149.4
12.0	-96.081	357.08	0.9313	23.350	32.9	-1.94	2290.2
13.0	-100.52	365.71	0.9852	23.353	32.5	-1.94	2426.4
14.0	-104.73	373.87	1.0379	23.356	31.5	-1.94	2557.7
15.0	-108.72	381.64	1.0895	23.359	31.0	-1.94	2685.6
16.0	-112.53	389.04	1.1402	23.362	28.7	-1.94	2814.7
17.0	-116.18	396.13	1.1900	23.365	28.9	-1.94	2940.4
18.0	-119.67	402.93	1.2390	23.367	27.9	-1.95	3064.3
19.0	-123.03	409.46	1.2872	23.370	27.7	-1.95	3184.9
20.0	-126.26	415.75	1.3347	23.372	27.5	-1.95	3306.7
21.0	-129.38	421.83	1.3816	23.375	26.6	-1.95	3425.0
22.0	-132.40	427.71	1.4278	23.377	0.	0.	3520.6
