35.00	215.3	47.65	1.35e-5	0.28	13.64	14472	1.23	50	8
40.00	184.5	47.14	4.22e-5	0.85	12.75	15497	1.29	80	40
43.00	166.6	46.38	8.47e-5	1.65	12.16	16054	1.35	107	101
46.00	149.0	44.89	1.72e-4	3.12	11.53	16437	1.55	131	237
48.00	138.0	43.25	2.72e-4	4.56	11.07	16461	1.73	141	370
49.13	132.2	42.06	3.47e-4	5.50	10.82	16357	1.86	150	446
50.78	123.9	39.77	4.99e-4	7.04	10.34	15989	2.00	154	512
52.86	114.1	36.00	7.66e-4	8.79	9.60	15027	2.39	138	474
55.06	105.1	31.08	1.16e-3	9.77	8.76	13085	2.71	111	210
58.75	93.0	22.24	2.03e-3	9.11	12.41	5493	2.04	39	0
