1029.2	9.633e-07	899.9	2.575e-11	1.999	4159.0	22.526	1.400
1020.0	1.018e-06	903.4	2.711e-11	2.000	4157.8	22.533	1.400
1000.0	1.148e-06	897.0	3.082e-11	2.001	4155.4	22.547	1.400
980.0	1.297e-06	883.9	3.535e-11	2.002	4152.9	22.562	1.400
960.0	1.468e-06	872.2	4.057e-11	2.003	4150.5	22.576	1.400
940.0	1.664e-06	866.0	4.635e-11	2.004	4148.1	22.590	1.400
920.0	1.888e-06	865.4	5.264e-11	2.006	4145.6	22.605	1.400
900.0	2.141e-06	869.1	5.948e-11	2.007	4143.2	22.619	1.400
880.0	2.427e-06	875.2	6.700e-11	2.008	4140.9	22.633	1.400
860.0	2.749e-06	881.4	7.539e-11	2.009	4138.5	22.648	1.400
840.0	3.112e-06	885.2	8.502e-11	2.010	4136.2	22.662	1.400
820.0	3.522e-06	884.4	9.638e-11	2.011	4133.9	22.677	1.400
800.0	3.990e-06	877.2	1.101e-10	2.012	4131.6	22.691	1.400
780.0	4.527e-06	862.2	1.272e-10	2.014	4128.5	22.706	1.401
760.0	5.152e-06	840.0	1.487e-10	2.015	4125.5	22.720	1.401
740.0	5.887e-06	812.0	1.759e-10	2.017	4122.4	22.735	1.401
720.0	6.765e-06	776.1	2.117e-10	2.018	4119.3	22.749	1.401
700.0	7.827e-06	741.0	2.567e-10	2.020	4116.2	22.763	1.401
680.0	9.117e-06	712.8	3.113e-10	2.023	4110.6	22.778	1.401
660.0	1.068e-05	692.7	3.757e-10	2.026	4104.8	22.792	1.401
640.0	1.256e-05	680.2	4.506e-10	2.028	4099.1	22.807	1.402
620.0	1.481e-05	674.6	5.364e-10	2.031	4093.4	22.822	1.402
600.0	1.749e-05	669.8	6.390e-10	2.034	4087.6	22.836	1.402
580.0	2.067e-05	670.3	7.562e-10	2.039	4078.2	22.851	1.402
560.0	2.445e-05	664.0	9.053e-10	2.043	4068.8	22.865	1.403
540.0	2.903e-05	642.4	1.114e-09	2.049	4056.9	22.880	1.404
520.0	3.484e-05	594.3	1.451e-09	2.057	4042.2	22.894	1.404
500.0	4.256e-05	545.9	1.937e-09	2.064	4027.4	22.909	1.405
480.0	5.265e-05	535.8	2.455e-09	2.077	4003.9	22.924	1.406
460.0	6.518e-05	535.7	3.058e-09	2.089	3980.4	22.938	1.408
440.0	8.149e-05	483.1	4.276e-09	2.107	3946.1	22.953	1.411
420.0	0.0001072	392.9	6.989e-09	2.129	3904.6	22.968	1.413
400.0	0.0001463	370.2	1.023e-08	2.152	3863.2	22.982	1.414
380.0	0.0002107	289.2	1.917e-08	2.187	3802.5	22.997	1.429
360.0	0.0003367	231.7	3.892e-08	2.224	3738.7	23.012	1.445
340.0	0.0006036	198.6	8.251e-08	2.257	3684.5	23.026	1.461
320.0	0.001152	194.2	1.629e-07	2.281	3645.4	23.041	1.472
300.0	0.002177	177.6	3.417e-07	2.296	3621.3	23.056	1.483
280.0	0.004800	152.8	8.713e-07	2.303	3610.5	23.070	1.488
260.0	0.01094	151.0	2.012e-06	2.306	3604.8	23.085	1.489
240.0	0.02475	155.7	4.416e-06	2.308	3602.5	23.100	1.489
220.0	0.05593	157.2	9.878e-06	2.309	3601.6	23.115	1.490
200.0	0.1257	158.2	2.206e-05	2.309	3600.7	23.130	1.490
180.0	0.2824	157.4	4.984e-05	2.309	3600.6	23.144	1.490
160.0	0.6192	168.6	0.0001020	2.309	3600.6	23.159	1.490
140.0	1.342	160.5	0.0002325	2.309	3600.5	23.174	1.491
120.0	3.079	149.8	0.0005710	2.309	3600.4	23.189	1.491
100.0	7.177	158.1	0.001261	2.309	3600.4	23.204	1.493
80.0	16.40	143.8	0.003168	2.309	3600.4	23.218	1.511
60.0	43.74	122.6	0.009915	2.309	3600.4	23.233	1.534
40.0	135.8	113.2	0.03335	2.309	3600.4	23.248	1.547
23.3	351.5	122.9	0.07945	2.309	3600.4	23.261	1.528
