-240.0	1027.1	47.130	-10.61	338.93	1.265	20.58	0.0692	443.	2.060
-235.0	983.96	47.151	-10.46	338.93	1.265	20.77	0.0924	335.	2.060
-230.0	941.44	47.171	-10.31	338.93	1.265	21.03	0.125	250.	2.060
-225.0	899.49	47.191	-10.16	338.93	1.265	21.02	0.163	192.	2.060
-220.0	858.13	47.211	-10.02	338.93	1.265	20.89	0.206	151.	2.060
-215.0	817.36	47.230	-9.87	338.93	1.265	20.88	0.265	118.	2.060
-210.0	777.17	47.249	-9.72	338.93	1.265	21.19	0.358	88.3	2.058
-205.0	737.57	47.268	-9.57	338.93	1.265	21.87	0.515	63.2	2.054
-200.0	698.56	47.287	-9.42	338.93	1.265	22.90	0.793	43.0	2.051
-195.0	660.15	47.305	-9.27	338.93	1.265	23.69	1.19	29.6	2.047
-190.0	622.32	47.323	-9.12	338.93	1.265	24.04	1.70	21.1	2.045
-185.0	585.09	47.341	-8.97	338.93	1.265	24.17	2.35	15.3	2.043
-180.0	548.45	47.358	-8.82	338.93	1.265	24.51	3.35	10.9	2.040
-175.0	512.41	47.376	-8.68	338.93	1.265	26.27	5.81	6.74	2.026
-170.0	476.96	47.393	-8.53	338.93	1.265	27.27	9.43	4.31	2.010
-165.0	442.11	47.409	-8.38	338.93	1.265	28.48	15.90	2.67	1.991
-160.0	407.87	47.425	-8.23	338.93	1.265	32.93	40.70	1.21	1.953
-155.0	374.22	47.441	-8.08	338.93	1.265	38.89	1.30e+02	0.446	1.875
-150.0	341.18	47.455	-7.93	338.93	1.265	45.77	5.46e+02	0.125	1.726
-145.0	308.74	47.466	-7.78	338.93	1.265	45.07	1.47e+03	0.0453	1.526
-140.0	276.91	47.468	-7.63	338.93	1.265	51.81	7.85e+03	0.00981	1.153
-135.0	245.70	47.437	-7.48	338.93	1.265	51.33	2.76e+04	0.00278	1.087
-130.0	215.15	47.300	-7.33	338.87	1.265	51.26	9.60e+04	0.000798	1.049
-125.0	185.39	46.822	-7.18	338.51	1.265	50.78	3.17e+05	0.000238	1.030
-120.0	156.76	45.377	-7.04	336.39	1.264	47.68	8.55e+05	8.31e-05	1.026
-115.0	130.16	41.495	-6.92	324.53	1.261	45.00	2.55e+06	2.65e-05	1.019
-110.0	107.67	32.770	-6.85	287.72	1.246	36.10	5.43e+06	9.98e-06	1.009
-105.0	91.391	21.965	-6.89	254.15	1.223	23.69	6.62e+06	5.33e-06	1.004
-100.0	80.749	13.669	-7.10	244.19	1.213	15.33	7.45e+06	3.07e-06	1.001
-95.0	73.873	8.444	-7.58	242.09	1.211	9.91	7.53e+06	1.96e-06	1.010
-90.0	69.146	5.535	-8.43	241.39	1.210	6.49	6.20e+06	1.56e-06	1.033
-85.0	65.533	3.828	-9.75	241.34	1.210	4.60	5.64e+06	1.22e-06	1.066
-80.0	62.535	2.767	-11.67	241.33	1.209	3.31	4.59e+06	1.08e-06	1.146
-75.0	59.878	2.051	-14.30	241.33	1.207	2.50	4.07e+06	9.12e-07	1.254
-70.0	57.438	1.543	-17.80	241.33	1.207	1.93	3.92e+06	7.35e-07	1.345
-65.0	55.135	1.188	-22.35	241.33	1.207	1.50	3.58e+06	6.25e-07	1.384
-60.0	52.892	0.956	-27.93	241.33	1.207	1.20	3.17e+06	5.63e-07	1.378
-55.0	50.635	0.808	-34.35	241.33	1.207	1.01	3.05e+06	4.94e-07	1.306
-50.0	48.323	0.712	-41.21	241.33	1.207	0.90	3.11e+06	4.30e-07	1.000
-45.0	45.909	0.670	-47.99	241.33	1.207	0.85	3.39e+06	3.72e-07	0.926
-40.0	43.356	0.642	-54.26	241.33	1.207	0.82	3.88e+06	3.14e-07	0.897
-35.0	40.714	0.617	-59.90	241.33	1.207	0.78	4.25e+06	2.74e-07	0.872
-30.0	38.037	0.591	-64.90	241.33	1.207	0.74	4.58e+06	2.41e-07	0.846
-25.0	35.377	0.563	-69.28	241.33	1.207	0.73	5.68e+06	1.91e-07	0.819
-20.0	32.784	0.534	-73.09	241.33	1.207	0.67	5.81e+06	1.73e-07	0.796
-15.0	30.272	0.507	-76.35	241.33	1.207	0.65	6.60e+06	1.46e-07	0.776
-10.0	27.863	0.479	-79.12	241.33	1.207	0.60	6.83e+06	1.32e-07	0.761
-5.0	25.558	0.457	-81.42	241.33	1.207	0.56	6.68e+06	1.25e-07	0.749
0.0	23.339	0.438	-83.29	241.33	1.207	0.53	6.90e+06	1.15e-07	0.739
